,oid,ent,sectionId
432,11,38,1110
433,12,1,1045
434,12,2,1042
435,12,3,1478
436,12,4,1311
437,12,5,1312
438,12,6,913
439,12,7,914
440,12,8,603
441,12,9,598
442,12,10,718
443,12,11,709
444,12,12,710
445,12,13,730
446,12,14,1926
447,12,15,2178
448,12,16,2216
449,12,17,1185
450,12,18,1182
451,12,19,2159
452,12,20,2156
453,12,21,543
454,12,22,548
455,12,23,893
456,12,24,890
457,12,25,904
458,12,26,971
459,12,27,191
460,12,28,188
461,12,29,1125
462,12,30,1122
463,12,31,1838
464,12,32,1967
465,12,33,1143
466,12,34,1137
467,12,35,1138
468,12,36,1645
469,12,37,1640
470,12,38,1974
471,12,39,249
472,12,40,246
473,12,41,239
474,12,42,242
475,12,43,1110
476,13,1,1045
477,13,2,1042
478,13,3,1478
479,13,4,1311
480,13,5,1312
481,13,6,913
482,13,7,908
483,13,8,1221
484,13,9,1222
485,13,10,1324
486,13,11,747
487,13,12,750
488,13,13,1149
489,13,14,1146
490,13,15,2008
491,13,16,2089
492,13,17,531
493,13,18,528
494,13,19,532
495,13,20,536
496,13,21,1722
497,13,22,1717
498,13,23,1718
499,13,24,1732
500,13,25,1737
501,13,26,1738
502,13,27,2056
503,13,28,2139
504,13,29,2093
505,13,30,1695
506,13,31,821
507,13,32,822
508,13,33,761
509,13,34,762
510,13,35,1300
511,13,36,2033
512,13,37,251
513,13,38,246
514,13,39,239
515,13,40,242
516,13,41,1110
517,14,1,1045
518,14,2,1042
519,14,3,1478
520,14,4,1311
521,14,5,1312
522,14,6,913
523,14,7,914
524,14,8,603
525,14,9,598
526,14,10,718
527,14,11,709
528,14,12,710
529,14,13,730
530,14,14,1923
531,14,15,1924
532,14,16,2192
533,14,17,2173
534,14,18,1199
535,14,19,1196
536,14,20,2164
537,14,21,2199
538,14,22,2196
539,14,23,2171
540,14,24,2168
541,14,25,2183
542,14,26,543
543,14,27,548
544,14,28,893
545,14,29,890
546,14,30,904
547,14,31,971
548,14,32,191
549,14,33,188
550,14,34,1125
551,14,35,1126
552,14,36,2046
553,14,37,2080
554,14,38,181
555,14,39,176
556,14,40,1695
557,14,41,821
558,14,42,822
559,14,43,761
560,14,44,762
561,14,45,1300
562,14,46,2033
563,14,47,251
564,14,48,246
565,14,49,239
566,14,50,242
567,14,51,1110
568,15,1,1045
569,15,2,1042
570,15,3,1478
571,15,4,1311
572,15,5,1312
573,15,6,913
574,15,7,908
575,15,8,1221
